"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"HDDL","Haddock | large","","5995","1.5","2.49","2.81","8","2021"
"HDDP","Haddock | snapper","","69","0.5","1.58","1.99","8","2021"
"HDDS","Haddock | scrod","","6451","1.29","2.46","2.8","8","2021"
"CADM","Cod | market","","5317","1.99","2.5","4.57","9","2021"
"CADS","Cod | scrod","","8","1.24","1.24","1.24","9","2021"
"HDDL","Haddock | large","","5333","1.87","2.14","2.78","9","2021"
"HDDP","Haddock | snapper","","67","0.64","0.81","0.98","9","2021"
"HDDS","Haddock | scrod","","9422","1.44","1.89","2.48","9","2021"
"CADM","Cod | market","","1622","2.33","3.07","4.42","10","2021"
"HDDL","Haddock | large","","5739","1.94","2.17","2.66","10","2021"
"HDDP","Haddock | snapper","","36","0.75","0.78","0.79","10","2021"
"HDDS","Haddock | scrod","","13032","1.39","1.91","2.5","10","2021"
"CADM","Cod | market","","3201","2.31","2.94","4.37","11","2021"
"CADS","Cod | scrod","","18","1.59","1.68","1.87","11","2021"
"HDDL","Haddock | large","","1793","1.89","2.27","3.17","11","2021"
"HDDP","Haddock | snapper","","36","0.52","1.03","1.47","11","2021"
"HDDS","Haddock | scrod","","5607","1.56","2.1","2.87","11","2021"
"CADM","Cod | market","","2661","2.72","3.71","6.06","12","2021"
"CADS","Cod | scrod","","8","2.07","2.11","2.14","12","2021"
"HDDL","Haddock | large","","5376","1.93","2.51","2.98","12","2021"
"HDDP","Haddock | snapper","","76","1.08","1.59","1.9","12","2021"
"HDDS","Haddock | scrod","","18144","1.52","2.48","2.81","12","2021"
"CADM","Cod | market","2600","2204","2.48","3.63","4.62","1","2020"
"CADS","Cod | scrod","96","9","0","1.65","1.65","1","2020"
"HDDL","Haddock | large","1595","1595","1.6","2.6","4.47","1","2020"
"HDDP","Haddock | snapper","326","326","0.5","0.95","1.16","1","2020"
"HDDS","Haddock | scrod","10291","10208","1.12","1.56","2.67","1","2020"
"CADM","Cod | market","1169","1169","2.17","2.97","3.57","2","2020"
"CADS","Cod | scrod","3","3","1.23","1.23","1.23","2","2020"
"HDDL","Haddock | large","1442","1442","1.99","2.3","2.71","2","2020"
"HDDP","Haddock | snapper","169","169","0.5","0.8","0.93","2","2020"
"HDDS","Haddock | scrod","5192","4786","1.58","1.78","1.92","2","2020"
"CADM","Cod | market","1107","769","0","2.5","3.52","3","2020"
"CADS","Cod | scrod","4","0","0","0","0","3","2020"
"HDDL","Haddock | large","1635","1606","0","1.97","2.51","3","2020"
"HDDP","Haddock | snapper","221","78","0","0.55","0.84","3","2020"
"HDDS","Haddock | scrod","3491","3491","1.2","1.6","2.17","3","2020"
"CADM","Cod | market","4009","2926","0","2.22","3.3","4","2020"
"CADS","Cod | scrod","14","2","0","1.25","1.25","4","2020"
"HDDL","Haddock | large","2099","2099","1.65","2.48","3.19","4","2020"
"HDDP","Haddock | snapper","320","100","0","0.99","1.28","4","2020"
"HDDS","Haddock | scrod","3331","3245","0","1.89","2.26","4","2020"
"CADM","Cod | market","349","406","2.5","2.56","3.07","5","2020"
"HDDL","Haddock | large","1004","1014","0","2.68","2.82","5","2020"
"HDDP","Haddock | snapper","43","34","0.76","0.88","0.96","5","2020"
"HDDS","Haddock | scrod","2614","2621","0","1.94","2.09","5","2020"
"CADM","Cod | market","2947","2947","2.49","3.21","3.92","6","2020"
"CADS","Cod | scrod","37","26","0","2.16","2.68","6","2020"
"HDDL","Haddock | large","1108","1078","0","2.5","3.62","6","2020"
"HDDP","Haddock | snapper","1935","1717","0","0.66","0.8","6","2020"
"HDDS","Haddock | scrod","10529","7430","0","1.51","2.08","6","2020"
"CADM","Cod | market","2303","2096","2.24","3.33","4.07","7","2020"
"CADS","Cod | scrod","26","3","0","1.65","1.65","7","2020"
"HDDL","Haddock | large","2615","2276","1.99","2.88","4.61","7","2020"
"HDDP","Haddock | snapper","446","229","0","0.74","0.9","7","2020"
"HDDS","Haddock | scrod","10761","8797","0","1.35","1.89","7","2020"
"CADM","Cod | market","485","1168","2.26","3.34","5.02","8","2020"
"CADS","Cod | scrod","3","0","0","0","0","8","2020"
"HDDL","Haddock | large","3924","4621","0","2.07","2.65","8","2020"
"HDDP","Haddock | snapper","495","522","0","0.91","1.2","8","2020"
"HDDS","Haddock | scrod","9928","11028","0","1.61","2.01","8","2020"
"CADM","Cod | market","","2005","0","3.54","4.01","9","2020"
"HDDL","Haddock | large","","8890","1.65","2.15","2.83","9","2020"
"HDDP","Haddock | snapper","","655","0","0.96","1.01","9","2020"
"HDDS","Haddock | scrod","","21190","0","1.71","2.06","9","2020"
"CADM","Cod | market","","2668","0","2.59","4.02","10","2020"
"CADS","Cod | scrod","","3","0","1.43","1.43","10","2020"
